City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,West Plains,US,2021-11-25 04:32:36,36.7281,-91.8524,60.48,66,90,3.0
137,Hobart,AU,2021-11-25 04:32:37,-42.8794,147.3294,58.01,82,90,1.01
138,Ahuimanu,US,2021-11-25 04:32:37,21.4447,-157.8378,80.31,67,90,8.05
139,Rize,TR,2021-11-25 04:32:37,40.9044,40.8949,30.49,94,100,1.54
140,Nanortalik,GL,2021-11-25 04:32:38,60.1432,-45.2371,38.48,99,100,9.1
141,Upernavik,GL,2021-11-25 04:32:38,72.7868,-56.1549,19.33,92,100,27.18
142,Dukat,RU,2021-11-25 04:32:39,62.55,155.55,-21.46,98,99,5.41
143,Nhulunbuy,AU,2021-11-25 04:32:39,-12.2333,136.7667,93.81,40,75,10.36
144,Kathu,TH,2021-11-25 04:32:39,7.9178,98.3332,80.42,86,97,17.2
145,Zhigansk,RU,2021-11-25 04:32:40,66.7697,123.3711,-10.95,87,100,6.73
146,Grand Gaube,MU,2021-11-25 04:32:40,-20.0064,57.6608,81.0,64,11,8.99
147,Tasiilaq,GL,2021-11-25 04:32:41,65.6145,-37.6368,26.76,80,100,9.95
148,Taoudenni,ML,2021-11-25 04:32:41,22.6783,-3.9836,73.72,41,85,7.27
149,Goderich,CA,2021-11-25 04:32:41,43.7501,-81.7165,44.2,70,100,22.79
150,Moron,AR,2021-11-25 04:32:42,-34.6534,-58.6198,79.99,42,59,4.0
151,Cape Town,ZA,2021-11-25 04:30:59,-33.9258,18.4232,62.11,59,0,3.44
152,Domoni,KM,2021-11-25 04:32:42,-12.2569,44.5319,82.29,69,78,4.41
153,Bintulu,MY,2021-11-25 04:32:43,3.1667,113.0333,86.41,74,40,5.75
154,Maniitsoq,GL,2021-11-25 04:32:43,65.4167,-52.9,27.63,74,100,5.23
155,Guerrero Negro,MX,2021-11-25 04:32:44,27.9769,-114.0611,64.54,78,100,10.22
156,Bambous Virieux,MU,2021-11-25 04:32:44,-20.3428,57.7575,80.85,65,20,13.8
157,Kamloops,CA,2021-11-25 04:30:03,50.6665,-120.3192,36.59,81,90,14.97
158,Port Elizabeth,ZA,2021-11-25 04:32:21,-33.918,25.5701,62.89,63,20,11.5
159,Bairiki,KI,2021-11-25 04:32:45,1.3292,172.9752,86.0,66,40,12.66
160,Tiarei,PF,2021-11-25 04:32:46,-17.5333,-149.3333,84.0,77,10,11.79
161,Whitehorse,CA,2021-11-25 04:30:08,60.7161,-135.0538,9.37,92,40,1.99
162,Ornskoldsvik,SE,2021-11-25 04:32:47,63.2909,18.7153,31.82,100,90,6.91
163,Batagay-Alyta,RU,2021-11-25 04:32:47,67.8006,130.4114,-19.8,85,99,1.92
164,Isla Mujeres,MX,2021-11-25 04:32:48,21.2311,-86.731,71.65,60,60,11.07
165,Peniche,PT,2021-11-25 04:32:48,39.3558,-9.3811,55.62,71,58,22.41
166,Clyde River,CA,2021-11-25 04:32:48,70.4692,-68.5914,5.23,85,90,2.3
167,Kasungu,MW,2021-11-25 04:32:49,-13.0333,33.4833,75.13,61,98,11.27
168,Envira,BR,2021-11-25 04:32:49,-7.3,-70.2167,69.42,99,100,1.99
169,Saint-Pierre,RE,2021-11-25 04:32:50,-21.3393,55.4781,85.57,63,0,5.75
170,Porto Velho,BR,2021-11-25 04:32:43,-8.7619,-63.9039,77.05,94,20,1.14
171,Talaya,RU,2021-11-25 04:32:51,61.3833,152.75,-18.98,100,100,4.83
172,Makakilo City,US,2021-11-25 04:32:51,21.3469,-158.0858,79.12,62,1,5.75
173,Oshawa,CA,2021-11-25 04:32:52,43.9001,-78.8496,46.51,75,90,3.44
174,Kattivakkam,IN,2021-11-25 04:32:52,13.2167,80.3167,84.29,92,95,16.24
175,Alofi,NU,2021-11-25 04:32:52,-19.0595,-169.9187,84.09,65,16,5.75
176,La Ronge,CA,2021-11-25 04:29:48,55.1001,-105.2842,3.45,72,40,5.75
177,Aklavik,CA,2021-11-25 04:32:53,68.2191,-135.0107,-28.37,99,100,5.77
178,Lagos,NG,2021-11-25 04:32:53,6.5833,3.75,79.12,93,60,0.87
179,Airai,TL,2021-11-25 04:32:54,-8.9266,125.4092,71.44,73,85,0.85
180,Ridgecrest,US,2021-11-25 04:32:54,35.6225,-117.6709,57.06,14,1,3.0
181,Hofn,IS,2021-11-25 04:32:55,64.2539,-15.2082,31.6,57,100,5.93
182,Nikolskoye,RU,2021-11-25 04:32:55,59.7035,30.7861,32.88,92,100,6.46
183,Guiratinga,BR,2021-11-25 04:32:56,-16.3494,-53.7583,72.97,89,97,0.22
184,Palencia,ES,2021-11-25 04:32:56,42.4167,-4.5,38.91,99,100,1.97
185,Orocue,CO,2021-11-25 04:32:57,4.7912,-71.3354,72.5,96,98,3.24
186,Zhigalovo,RU,2021-11-25 04:32:57,54.8097,105.1578,22.03,84,98,2.8
187,Tazovskiy,RU,2021-11-25 04:29:44,67.4667,78.7,-2.7,97,99,8.57
188,Bjornevatn,NO,2021-11-25 04:32:58,69.6672,29.9847,17.22,85,20,6.91
189,Murgab,TM,2021-11-25 04:32:58,37.4966,61.9714,59.86,46,14,10.67
190,Red Bluff,US,2021-11-25 04:32:59,40.1785,-122.2358,56.86,40,1,8.05
191,Yulara,AU,2021-11-25 04:32:59,-25.2406,130.9889,78.64,31,40,13.8
192,Butaritari,KI,2021-11-25 04:33:00,3.0707,172.7902,82.31,70,12,14.52
193,Nyurba,RU,2021-11-25 04:33:00,63.2842,118.3319,-0.67,90,100,3.04
194,Santa Barbara,US,2021-11-25 04:30:32,34.7333,-120.0343,56.34,50,1,3.44
195,Prado,BR,2021-11-25 04:33:01,-17.3411,-39.2208,71.91,90,84,6.71
196,Rockwall,US,2021-11-25 04:31:04,32.9001,-96.4003,70.23,88,90,6.91
197,Bilibino,RU,2021-11-25 04:28:18,68.0546,166.4372,-5.57,99,100,2.37
198,Veraval,IN,2021-11-25 04:33:02,20.9,70.3667,82.94,39,13,9.71
199,Flinders,AU,2021-11-25 04:33:03,-34.5833,150.8552,75.2,83,100,4.09
200,Likasi,CD,2021-11-25 04:33:03,-10.9814,26.7333,63.86,92,100,0.92
201,Yuzhno-Sukhokumsk,RU,2021-11-25 04:33:04,44.6581,45.6436,31.78,81,11,1.01
202,Dingle,PH,2021-11-25 04:33:04,10.9995,122.6711,86.74,68,100,10.71
203,Maku,IR,2021-11-25 04:33:05,39.2911,44.4521,42.89,75,94,1.9
204,Praya,CV,2021-11-25 04:33:05,14.9215,-23.5087,75.74,83,0,5.75
205,Beringovskiy,RU,2021-11-25 04:33:06,63.05,179.3167,-4.16,87,94,8.72
206,Srednekolymsk,RU,2021-11-25 04:33:06,67.45,153.6833,-18.42,99,99,7.09
207,Biak,ID,2021-11-25 04:33:06,-0.9131,122.8766,83.08,73,94,2.06
208,Khatanga,RU,2021-11-25 04:33:07,71.9667,102.5,-8.18,96,73,4.16
209,Souillac,MU,2021-11-25 04:33:07,-20.5167,57.5167,80.98,65,20,13.8
210,North Bend,US,2021-11-25 04:29:30,43.4065,-124.2243,44.85,97,1,5.75
211,Sao Joao Da Barra,BR,2021-11-25 04:33:08,-21.6403,-41.0511,72.27,84,56,5.53
212,Mogadishu,SO,2021-11-25 04:33:08,2.0371,45.3438,82.27,83,75,9.22
213,Lebu,CL,2021-11-25 04:33:09,-37.6167,-73.65,53.24,95,30,5.06
214,Sri Aman,MY,2021-11-25 04:33:09,1.2376,111.4621,87.85,70,40,1.14
215,Port Blair,IN,2021-11-25 04:33:10,11.6667,92.75,82.67,75,97,10.2
216,Grindavik,IS,2021-11-25 04:29:12,63.8424,-22.4338,41.47,87,75,28.77
217,Rabo De Peixe,PT,2021-11-25 04:29:38,37.8,-25.5833,62.11,95,40,14.97
218,Payo,ID,2021-11-25 04:33:11,-3.7508,103.6372,92.89,42,29,2.62
219,Alice Springs,AU,2021-11-25 04:31:17,-23.7,133.8833,74.75,43,40,13.8
220,Oudtshoorn,ZA,2021-11-25 04:33:11,-33.5907,22.2014,52.16,67,0,4.12
221,Mahajanga,MG,2021-11-25 04:28:27,-15.7167,46.3167,82.42,78,20,5.75
222,Saucillo,MX,2021-11-25 04:33:12,28.0167,-105.2833,62.55,40,93,6.35
223,Soderhamn,SE,2021-11-25 04:33:12,61.3037,17.0592,38.39,92,67,4.5
224,Kerouane,GN,2021-11-25 04:33:13,9.2667,-9.0167,67.26,41,20,2.13
225,Posse,BR,2021-11-25 04:33:13,-14.0931,-46.3694,69.12,60,96,7.0
226,Sao Filipe,CV,2021-11-25 04:33:14,14.8961,-24.4956,77.68,69,100,2.8
227,Ganzhou,CN,2021-11-25 04:33:14,28.8184,115.4327,64.81,35,0,2.06
228,Sur,OM,2021-11-25 04:33:15,22.5667,59.5289,84.09,34,17,3.02
229,Sola,VU,2021-11-25 04:33:16,-13.8833,167.55,81.52,74,13,18.88
230,Gizo,SB,2021-11-25 04:33:16,-8.103,156.8419,85.17,67,36,2.95
231,Lata,PT,2021-11-25 04:33:17,40.1629,-8.3327,51.82,95,55,0.85
232,Kokstad,ZA,2021-11-25 04:33:17,-30.5472,29.4241,47.01,93,100,2.75
233,Salalah,OM,2021-11-25 04:33:18,17.0151,54.0924,80.69,57,0,3.44
234,Neumunster,DE,2021-11-25 04:33:18,54.0667,9.9833,42.04,85,86,4.0
235,Hithadhoo,MV,2021-11-25 04:33:19,-0.6,73.0833,82.35,70,65,18.34
236,Chokurdakh,RU,2021-11-25 04:33:19,70.6333,147.9167,-29.79,100,71,6.76
237,Saldanha,ZA,2021-11-25 04:33:19,-33.0117,17.9442,64.45,61,0,11.88
238,Murray Bridge,AU,2021-11-25 04:33:20,-35.1167,139.2667,74.7,64,94,21.65
239,Adre,TD,2021-11-25 04:33:21,13.4667,22.2,63.48,19,26,12.93
240,Gaspar,BR,2021-11-25 04:33:21,-26.9314,-48.9589,67.37,90,46,0.87
241,Namatanai,PG,2021-11-25 04:33:21,-3.6667,152.4333,85.48,67,48,7.07
242,Mozarlandia,BR,2021-11-25 04:33:22,-14.7447,-50.5706,74.61,82,98,2.01
243,Kalanguy,RU,2021-11-25 04:33:22,51.0167,116.5167,10.81,66,96,2.71
