City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
556,Choix,MX,26.7092,-108.3219,68.77,54,100,3.29,overcast clouds,2021-11-26 04:57:02
557,Solnechnyy,RU,50.7214,136.6319,26.94,91,100,9.86,light snow,2021-11-26 04:57:02
558,Anuradhapura,LK,8.3565,80.4173,82.81,79,87,3.38,overcast clouds,2021-11-26 04:57:03
559,Vetluzhskiy,RU,58.3902,45.4654,33.48,97,100,13.11,overcast clouds,2021-11-26 04:57:03
560,Ndjole,GA,-0.1783,10.7649,73.2,99,93,0.58,overcast clouds,2021-11-26 04:57:03
561,Wala,CM,4.578,12.3154,64.53,86,53,0.54,broken clouds,2021-11-26 04:57:04
562,Birjand,IR,32.8663,59.2211,43.27,70,0,6.91,clear sky,2021-11-26 04:57:04
563,Puerto Madero,MX,14.7208,-92.4215,77.29,80,39,4.68,scattered clouds,2021-11-26 04:57:05
564,La Asuncion,VE,11.0333,-63.8628,80.33,89,90,6.91,overcast clouds,2021-11-26 04:55:07
565,Gushikawa,JP,26.3544,127.8686,74.43,57,83,12.17,broken clouds,2021-11-26 04:57:05
566,Seoul,KR,37.5683,126.9778,46.0,34,75,11.5,broken clouds,2021-11-26 04:57:06
567,Lianzhou,CN,24.7811,112.3825,70.3,44,0,6.04,clear sky,2021-11-26 04:57:06
568,Ampanihy,MG,-24.7,44.75,71.33,48,0,13.02,clear sky,2021-11-26 04:57:07
569,Pak Chong,TH,14.708,101.4161,76.32,67,85,12.66,overcast clouds,2021-11-26 04:57:07
570,Bodden Town,KY,19.2833,-81.25,79.93,83,59,4.0,broken clouds,2021-11-26 04:57:08
571,Havoysund,NO,70.9963,24.6622,23.23,76,100,9.66,overcast clouds,2021-11-26 04:57:08
572,Oxapampa,PE,-10.5775,-75.4017,57.42,95,93,3.24,overcast clouds,2021-11-26 04:57:08
573,Nagyhegyes,HU,47.5395,21.3444,39.34,77,100,5.97,overcast clouds,2021-11-26 04:57:09
574,Aripuana,BR,-9.1667,-60.6333,72.16,99,89,1.12,overcast clouds,2021-11-26 04:57:09
575,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.53,84,38,11.12,scattered clouds,2021-11-26 04:57:10
576,Stara Synyava,UA,49.6032,27.6191,30.85,89,21,9.4,few clouds,2021-11-26 04:57:10
577,Aitape,PG,-3.1374,142.3475,79.05,87,100,6.02,overcast clouds,2021-11-26 04:57:11
578,Hokitika,NZ,-42.7167,170.9667,59.63,68,99,4.14,overcast clouds,2021-11-26 04:57:11
579,Caconda,AO,-13.7333,15.0667,60.33,85,99,2.1,overcast clouds,2021-11-26 04:57:11
580,Linqiong,CN,30.4159,103.4609,51.62,50,99,1.95,overcast clouds,2021-11-26 04:57:12
581,Fort Nelson,CA,58.8053,-122.7002,2.79,78,90,4.61,overcast clouds,2021-11-26 04:53:00
582,Inta,RU,66.0317,60.1659,3.94,96,88,10.56,overcast clouds,2021-11-26 04:57:12
583,Ambovombe,MG,-25.1667,46.0833,71.02,53,61,10.54,broken clouds,2021-11-26 04:57:13
584,Shakawe,BW,-18.3667,21.85,74.17,52,80,6.31,broken clouds,2021-11-26 04:57:13
585,Atambua,ID,-9.1061,124.8925,83.82,68,29,5.12,scattered clouds,2021-11-26 04:57:14
586,Torit,SS,4.4133,32.5678,78.33,56,81,2.37,light rain,2021-11-26 04:57:14
587,Tomatlan,MX,19.9333,-105.25,67.3,69,66,4.68,broken clouds,2021-11-26 04:57:15
588,Kaduqli,SD,11.0167,29.7167,71.13,20,10,9.66,clear sky,2021-11-26 04:57:16
589,Ayotzintepec,MX,17.6667,-96.1333,71.15,95,58,2.53,broken clouds,2021-11-26 04:57:16
590,Chitaga,CO,7.1378,-72.6646,53.35,94,98,1.72,overcast clouds,2021-11-26 04:57:16
591,Nyimba,ZM,-14.5566,30.8149,71.26,77,100,9.1,overcast clouds,2021-11-26 04:57:17
592,Weligama,LK,5.9667,80.4167,83.25,75,77,9.4,broken clouds,2021-11-26 04:57:17
593,Boa Vista,BR,2.8197,-60.6733,80.58,69,40,6.91,scattered clouds,2021-11-26 04:55:41
594,Luanda,AO,-8.8368,13.2343,76.64,83,100,5.44,overcast clouds,2021-11-26 04:55:58
595,Port Keats,AU,-14.25,129.55,88.93,56,82,9.95,broken clouds,2021-11-26 04:57:18
596,Moshi,TZ,-3.35,37.3333,71.98,82,100,3.85,light rain,2021-11-26 04:56:08
597,Puerto Narino,CO,-3.7703,-70.3831,75.15,98,58,2.48,broken clouds,2021-11-26 04:57:19
598,Ban Nahin,LA,18.2418,104.2122,87.26,37,50,1.1,scattered clouds,2021-11-26 04:57:19
599,Karratha,AU,-20.7377,116.8463,93.18,23,67,16.22,broken clouds,2021-11-26 04:57:19
600,Xai-Xai,MZ,-25.0519,33.6442,71.04,73,72,11.5,broken clouds,2021-11-26 04:55:07
601,Waingapu,ID,-9.6567,120.2641,88.16,64,85,7.45,overcast clouds,2021-11-26 04:57:20
602,Igaracu Do Tiete,BR,-22.5092,-48.5578,70.25,68,99,4.59,heavy intensity rain,2021-11-26 04:57:20
